group_id,order,x,y,z,line_count
0,0,293.720190570779,336.85677607257765,4.935914406568799,2
0,1,291.1079586722964,327.3126705737071,7.757153520776313,2
0,2,304.29655284995346,320.2939694042573,10.784772331425728,1
0,3,297.28824232494804,307.5790452937781,7.922687235630755,2
0,4,296.0132385926745,287.9249621885267,8.000079621796468,4
0,5,295.57636573873083,260.83691043435164,8.278118935058473,5
0,6,300.42944162825466,242.5099634326166,5.548604130380692,1
0,7,311.33755807513376,227.6682714694404,8.459417765613336,4
0,8,328.7886698397067,187.4061936119911,7.495595919382932,5
0,9,340.904226400588,166.08737074786023,7.286349838268227,2
0,10,346.535597388396,135.79553695837478,7.368758397611346,5
0,11,369.11518435032696,110.4405730370118,7.237621298830555,2
0,12,382.4445896750332,103.83498955852257,5.736352326449365,1
1,0,-366.53426078527934,76.75075965057981,5.991460562328938,4
1,1,-379.8417502105089,60.069595181795904,5.84957452102513,1
1,2,-380.9814964160346,44.41483529129523,5.497725802438418,2
1,3,-385.6218149032188,35.78809232040628,6.485911918387659,2
1,4,-401.5012276924699,21.6503665179652,7.962100024881812,1
1,5,-369.5457807712282,13.228359287603135,8.92807165961682,5
1,6,-324.0282244578344,6.579274206448918,4.055934312017915,1
1,7,-267.20656732919565,6.765613096714035,7.943468524508585,6
1,8,-228.875718859425,-4.210514298175573,2.860651903458572,1
1,9,-186.35744068077548,-33.30969319838505,6.672226922119931,4
1,10,-168.8109863388991,-49.08627443749604,5.085683005722816,2
1,11,-155.888965935815,-54.6882649824027,2.51668574272207,1
1,12,-144.4963153119912,-65.57499871148447,7.401721821348595,6
1,13,-127.8166693446235,-70.67624209114355,4.564717591440657,2
1,14,-124.4210784016022,-80.6501858582538,5.03982085095795,2
1,15,-112.16346207913313,-91.43913833399516,4.907967156008957,3
1,16,-97.43693309182297,-98.79877207372267,5.529972630007465,2
1,17,-76.85422097438119,-115.17734186721329,5.413167454590695,5
1,18,-53.32685595820931,-139.69018585823846,3.179537198308037,1
1,19,-48.423904975374754,-148.71392310633013,5.608081612341379,2
1,20,-22.735206294112405,-168.34479645790375,5.370888280666833,4
1,21,12.188426450350487,-181.50834958057305,6.389171435680518,2
1,22,26.428506072149013,-187.36461233250515,6.995411793978603,2
1,23,44.30363918984048,-185.44270140938528,9.810201542672308,1
1,24,45.95897633838323,-195.7824675203441,8.85927842746952,2
1,25,80.93484098132923,-200.1624227330964,12.666553869121673,5
1,26,124.28526646030316,-200.21873524864944,14.217984573276937,3
1,27,137.44035976709793,-206.1143510734788,13.646857427220702,2
1,28,146.48165362129143,-199.7330621956452,17.467748196068673,1
1,29,164.00404227518382,-207.37932245939336,16.760467778054245,4
1,30,182.9807628524412,-208.07818287243572,17.145996516546408,2
1,31,207.10748094151785,-209.87504776419647,17.204757402338892,2
1,32,220.9614346613498,-210.30823014788544,12.675153023140084,2
1,33,235.4148210758792,-213.61388827178885,10.452271709380444,2
1,34,255.62378848070648,-208.13300247930133,13.820990296093555,2
1,35,282.55693602984974,-206.5389343031357,16.409335655635733,4
1,36,298.6859631510235,-199.3980534870162,14.040985319731275,2
1,37,318.4652714366668,-196.6851995432544,15.550136849962678,3
1,38,327.6830270972773,-185.32302984930104,13.17175416770341,1
1,39,334.10205670663527,-193.6267073810116,17.17179397860164,2
1,40,349.20217116296703,-185.6880161642888,18.18792734511073,2
1,41,356.4185334421413,-167.61737172538426,14.738949987559096,2
1,42,367.3752888539328,-156.35033017276058,18.049624284647923,2
1,43,378.8644752187013,-140.1796210411251,21.458472256780293,2
