group_id,order,x,y,z,line_count
0,0,-205.13590035188537,75.97954222709345,10.223899231473519,3
0,1,-156.22950151346296,49.093600435347724,10.544349804400301,2
0,2,-117.48550129150472,55.92710486061883,10.21696307188636,2
0,3,8.964849678170248,-3.6642166164824626,10.548511500152598,1

1,0,-8.121685848836897,6.583265557538305,8.331714896096331,1
1,1,64.3896200912884,-25.950097370046223,10.598451849180147,2
1,2,121.76830666010834,-51.77758120878534,10.588741225758122,2
1,3,166.0751068709655,-73.15482505642471,10.143439780262465,2
1,4,215.53408642316688,-95.39908885245904,10.17395888244597,2
1,5,247.4771821699198,-111.04151595339079,8.6299697583442,1
